,name,gender,frequency,year
621224,Sarah,F,4585,1964.0
630965,Sarah,M,17,1964.0
633621,Sarah,F,4060,1965.0
643043,Sarah,M,17,1965.0
645570,Sarah,F,4033,1966.0
655306,Sarah,M,14,1966.0
657728,Sarah,F,4139,1967.0
667623,Sarah,M,15,1967.0
670127,Sarah,F,4490,1968.0
680537,Sarah,M,14,1968.0
683063,Sarah,F,5080,1969.0
693992,Sarah,M,15,1969.0
696806,Sarah,F,5614,1970.0
708482,Sarah,M,16,1970.0
711582,Sarah,F,5845,1971.0
723622,Sarah,M,16,1971.0
726874,Sarah,F,6114,1972.0
738553,Sarah,M,20,1972.0
742276,Sarah,F,7215,1973.0
753551,Sarah,M,33,1973.0
757945,Sarah,F,9791,1974.0
769784,Sarah,M,31,1974.0
774193,Sarah,F,11172,1975.0
786068,Sarah,M,46,1975.0
791142,Sarah,F,13995,1976.0
803350,Sarah,M,46,1976.0
808541,Sarah,F,18096,1977.0
820949,Sarah,M,64,1977.0
826726,Sarah,F,19976,1978.0
839152,Sarah,M,82,1978.0
844961,Sarah,F,21018,1979.0
857898,Sarah,M,84,1979.0
864003,Sarah,F,25757,1980.0
877147,Sarah,M,84,1980.0
883459,Sarah,F,28172,1981.0
896492,Sarah,M,109,1981.0
902941,Sarah,F,28488,1982.0
916061,Sarah,M,125,1982.0
922642,Sarah,F,27231,1983.0
935516,Sarah,M,118,1983.0
942055,Sarah,F,25888,1984.0
955019,Sarah,M,122,1984.0
961570,Sarah,F,24880,1985.0
974974,Sarah,M,101,1985.0
981662,Sarah,F,28161,1986.0
995331,Sarah,M,117,1986.0
1002325,Sarah,F,27894,1987.0
1016478,Sarah,M,110,1987.0
1023737,Sarah,F,28372,1988.0
1038676,Sarah,M,88,1988.0
1046111,Sarah,F,27792,1989.0
1061477,Sarah,M,146,1989.0
1069889,Sarah,F,25822,1990.0
1086631,Sarah,M,57,1990.0
1094608,Sarah,F,25228,1991.0
1112116,Sarah,M,37,1991.0
1119720,Sarah,F,24636,1992.0
1136983,Sarah,M,53,1992.0
1145150,Sarah,F,24254,1993.0
1162792,Sarah,M,46,1993.0
1171120,Sarah,F,22295,1994.0
1188791,Sarah,M,44,1994.0
1197117,Sarah,F,21393,1995.0
1215256,Sarah,M,33,1995.0
1223198,Sarah,F,21041,1996.0
1241513,Sarah,M,33,1996.0
1249624,Sarah,F,20714,1997.0
1269804,Sarah,M,17,1997.0
1276597,Sarah,F,19894,1998.0
1296471,Sarah,M,24,1998.0
1304506,Sarah,F,19115,1999.0
1326716,Sarah,M,13,1999.0
1333064,Sarah,F,17712,2000.0
1353998,Sarah,M,26,2000.0
1362841,Sarah,F,15920,2001.0
1384633,Sarah,M,22,2001.0
1393124,Sarah,F,14771,2002.0
1415091,Sarah,M,22,2002.0
1423700,Sarah,F,13779,2003.0
1445628,Sarah,M,26,2003.0
1454894,Sarah,F,12751,2004.0
1475918,Sarah,M,53,2004.0
1486955,Sarah,F,11547,2005.0
1510920,Sarah,M,18,2005.0
1519514,Sarah,F,11157,2006.0
1544824,Sarah,M,17,2006.0
1553619,Sarah,F,10003,2007.0
1580717,Sarah,M,13,2007.0
1588587,Sarah,F,9048,2008.0
1614487,Sarah,M,17,2008.0
1623682,Sarah,F,7786,2009.0
1651004,Sarah,M,12,2009.0
1658411,Sarah,F,6338,2010.0
1692122,Sarah,M,5,2010.0
1692522,Sarah,F,5565,2011.0
1726042,Sarah,M,5,2011.0
1726459,Sarah,F,5201,2012.0
1757950,Sarah,M,6,2012.0
1760236,Sarah,F,4710,2013.0
1793162,Sarah,M,5,2013.0
1793567,Sarah,F,4710,2014.0
1826868,Sarah,F,4529,2015.0
1853860,Sarah,M,10,2015.0
1860038,Sarah,F,4423,2016.0
1887525,Sarah,M,9,2016.0
1893102,Sarah,F,4033,2017.0
1923431,Sarah,M,6,2017.0
1925776,Sarah,F,3774,2018.0
1958012,Sarah,F,3316,2019.0
1990126,Sarah,F,3060,2020.0
2016917,Sarah,M,8,2020.0
2021649,Sarah,F,2855,2021.0
2053336,Sarah,F,2780,2022.0
