name,zip,kpi,month_1,month_2,delivery_service,orders
Tasty Donuts & Coffee,8010, Commissionable Orders,54.0,20.0,deliverando,74.0
Zu den 3 goldenen Kugeln,8010, Commissionable Orders,387.0,341.0,deliverando,728.0
Lend Kebap Pizza & Pasta,8020, Commissionable Orders,261.0,329.0,deliverando,590.0
Peppone,8010, Commissionable Orders,1.0,0.0,deliverando,1.0
Asia Today - Asien zum Anbeißen ,8020, Commissionable Orders,34.0,42.0,deliverando,76.0
Swing Kitchen,8010, Commissionable Orders,1982.0,1913.0,deliverando,3895.0
Gösser Stüberl,8010, Commissionable Orders,399.0,354.0,deliverando,753.0
Than Thai Imbiss,8010, Commissionable Orders,16.0,54.0,deliverando,70.0
Meranos Burgers & More,8010, Commissionable Orders,63.0,69.0,deliverando,132.0
NAM Vietnamese Street Food,8010, Commissionable Orders,311.0,212.0,deliverando,523.0
Best Food Grill,8051, Commissionable Orders,136.0,153.0,deliverando,289.0
Draxler Geflügel,8010, Commissionable Orders,72.0,119.0,deliverando,191.0
Murphy's Sports Bar,8010, Commissionable Orders,0.0,0.0,deliverando,0.0
Zu den 3 goldenen Kugeln,8020, Commissionable Orders,131.0,124.0,deliverando,255.0
Granola,8020, Commissionable Orders,166.0,154.0,deliverando,320.0
Burgerista,8010, Commissionable Orders,841.0,682.0,deliverando,1523.0
McDonald's®,8010, Commissionable Orders,2508.0,2038.0,deliverando,4546.0
McDonald's®,8010, Commissionable Orders,1044.0,977.0,deliverando,2021.0
McDonald's®,8020, Commissionable Orders,551.0,458.0,deliverando,1009.0
McDonald's®,8020, Commissionable Orders,1226.0,1023.0,deliverando,2249.0
Burger Eck am Jako,8010, Commissionable Orders,3.0,38.0,deliverando,41.0
Taj Restaurant,8010, Commissionable Orders,22.0,24.0,deliverando,46.0
Peri - Peri Chicken & Burger,8010, Commissionable Orders,260.0,241.0,deliverando,501.0
Meet Me There,8020, Commissionable Orders,15.0,11.0,deliverando,26.0
Beste Freunde - Burgergrill,8020, Commissionable Orders,993.0,953.0,deliverando,1946.0
Paradiso,8010, Commissionable Orders,0.0,0.0,deliverando,0.0
Burger King,8010, Commissionable Orders,152.0,116.0,deliverando,268.0
the italian,8020, Commissionable Orders,59.0,131.0,deliverando,190.0
Akakiko,8010, Commissionable Orders,481.0,405.0,deliverando,886.0
L'Osteria,8010, Commissionable Orders,1017.0,840.0,deliverando,1857.0
Best Food Grill 5,8010, Commissionable Orders,109.0,72.0,deliverando,181.0
Emy's Pizza & Kebaphaus,8010, Commissionable Orders,0.0,14.0,deliverando,14.0
Pizzeria Pisa,8020, Commissionable Orders,84.0,116.0,deliverando,200.0
Captains Pizzeria,8055, Commissionable Orders,275.0,193.0,deliverando,468.0
Amando,8041, Commissionable Orders,0.0,0.0,deliverando,0.0
Cook Moon,8010, Commissionable Orders,0.0,0.0,deliverando,0.0
Liebenauer Hof,8010, Commissionable Orders,0.0,0.0,deliverando,0.0
KFC,8020, Commissionable Orders,1244.0,1057.0,deliverando,2301.0
Best Food Grill 1,8020, Commissionable Orders,90.0,98.0,deliverando,188.0
Subway,8020, Commissionable Orders,236.0,181.0,deliverando,417.0
Östa Konditorei und Cafe,8020, Commissionable Orders,0.0,0.0,deliverando,0.0
Ankara Grill Haus,8010, Commissionable Orders,199.0,191.0,deliverando,390.0
Vapiano,8010, Commissionable Orders,261.0,267.0,deliverando,528.0
Eiscafe Roma,8010, Commissionable Orders,35.0,19.0,deliverando,54.0
Adelphia,8010, Commissionable Orders,78.0,69.0,deliverando,147.0
Moserhofstub'n im Wirtshaus zum Ganster,8010, Commissionable Orders,22.0,3.0,deliverando,25.0
Subway,8010, Commissionable Orders,19.0,91.0,deliverando,110.0
Mumbai Cuisine,8010, Commissionable Orders,16.0,10.0,deliverando,26.0
L'Enoteca dei Ciclopi,8010, Commissionable Orders,0.0,0.0,deliverando,0.0
